site,project_name,id,project_id,plot,latitude,longitude,treatment,profile,min_org,horizon,raw_depth,adjusted_depth,sample_depth,fine_coarse,fine_bulk_density,fine_carbon,fine_nitrogen,dry_matter,carbon
AK_Rogers_C005,AK_Rogers,ps.3657,BR_AK1.ps.92,AK_Rogers_C005,64.324763,-145.892955,Control,C,org,moss,5.25521,5.25521,5.25521,1,0.0199798,29.68709,,1049.980448,311.7086405
AK_Rogers_C005,AK_Rogers,ps.3658,BR_AK1.ps.93,AK_Rogers_C005,64.324763,-145.892955,Control,C,org,fibric,11.79023,11.79023,6.53502,1,0.0235692,38.311901,,1540.251934,590.099796
AK_Rogers_C005,AK_Rogers,ps.3659,BR_AK1.ps.94,AK_Rogers_C005,64.324763,-145.892955,Control,C,org,mesic,28.25023,28.25023,16.46,1,0.0526768,39.30388,,8670.60128,3407.882722
AK_Rogers_C005,AK_Rogers,ps.3660,BR_AK1.ps.95,AK_Rogers_C005,64.324763,-145.892955,Control,C,org,humic,43.25023,43.25023,15.0,1,0.605931,7.1507062,,90889.65,6499.251838
AK_Rogers_C005,AK_Rogers,ps.3661,BR_AK1.ps.96,AK_Rogers_C005,64.324763,-145.892955,Control,D,org,moss,3.66039,3.66039,3.66039,1,0.0323083,31.840503,,1182.609782,376.5489032
AK_Rogers_C005,AK_Rogers,ps.3670,BR_AK1.ps.105,AK_Rogers_C005,64.324763,-145.892955,Control,F,org,humic,38.0,38.0,17.0,1,0.450451,12.947166,,76576.67,9914.508582
AK_Rogers_C006,AK_Rogers,ps.3674,BR_AK1.ps.109,AK_Rogers_C006,64.363008,-145.578724,Control,A,org,humic,21.99999,21.99999,3.3,1,0.34385,15.913572,,11347.05,1805.720972
AK_Rogers_C006,AK_Rogers,ps.3675,BR_AK1.ps.110,AK_Rogers_C006,64.363008,-145.578724,Control,B,org,moss,16.1494,16.1494,16.1494,1,0.00687809,37.806593,,1110.770266,419.9443938
AK_Rogers_C006,AK_Rogers,ps.3677,BR_AK1.ps.112,AK_Rogers_C006,64.363008,-145.578724,Control,B,org,mesic,30.50002,30.50002,9.14484,1,0.0693776,29.663841,,6344.470516,1882.013646
AK_Rogers_C006,AK_Rogers,ps.3678,BR_AK1.ps.113,AK_Rogers_C006,64.363008,-145.578724,Control,C,org,moss,10.7673,10.7673,10.7673,1,0.0138575,40.508852,,1492.078598,604.4239108
AK_Rogers_C006,AK_Rogers,ps.3679,BR_AK1.ps.114,AK_Rogers_C006,64.363008,-145.578724,Control,C,org,fibric,16.50414,16.50414,5.73684,1,0.0246601,37.091314,,1414.710481,524.7347066
AK_Rogers_C006,AK_Rogers,ps.3676,BR_AK1.ps.111,AK_Rogers_C006,64.363008,-145.578724,Control,B,org,fibric,21.35518,21.35518,5.20578,1,0.0192027,40.881487,,999.6503161,408.671914
AK_Rogers_C006,AK_Rogers,ps.3681,BR_AK1.ps.116,AK_Rogers_C006,64.363008,-145.578724,Control,C,org,humic,23.49998,23.49998,1.5,1,0.314652,20.854586,,4719.78,984.2905791
AK_Rogers_C006,AK_Rogers,ps.3682,BR_AK1.ps.117,AK_Rogers_C006,64.363008,-145.578724,Control,D,org,moss,4.6438,4.6438,4.6438,1,0.0251094,42.120425,,1166.030317,491.1369252
AK_Rogers_C006,AK_Rogers,ps.3683,BR_AK1.ps.118,AK_Rogers_C006,64.363008,-145.578724,Control,D,org,fibric,7.81471,7.81471,3.17091,1,0.0399098,42.07413,,1265.503839,532.4497305
AK_Rogers_C006,AK_Rogers,ps.3680,BR_AK1.ps.115,AK_Rogers_C006,64.363008,-145.578724,Control,C,org,mesic,21.99998,21.99998,5.49584,1,0.102664,28.294275,,5642.249178,1596.433498
AK_Rogers_C006,AK_Rogers,ps.3685,BR_AK1.ps.120,AK_Rogers_C006,64.363008,-145.578724,Control,D,org,humic,20.2,20.2,7.1,1,0.449413,13.433986,,31908.323,4286.559645
AK_Rogers_C006,AK_Rogers,ps.3686,BR_AK1.ps.121,AK_Rogers_C006,64.363008,-145.578724,Control,E,org,moss,6.79893,6.79893,6.79893,1,0.00853447,41.622921,,580.2526412,241.5180984
AK_Rogers_C006,AK_Rogers,ps.3687,BR_AK1.ps.122,AK_Rogers_C006,64.363008,-145.578724,Control,E,org,fibric,22.66003,22.66003,15.8611,1,0.0167935,44.678867,,2663.633829,1190.081416
AK_Rogers_C006,AK_Rogers,ps.3688,BR_AK1.ps.123,AK_Rogers_C006,64.363008,-145.578724,Control,E,org,mesic,24.70001,24.70001,2.03998,1,0.0536374,40.201119,,1094.192233,439.8775215
AK_Rogers_C006,AK_Rogers,ps.3689,BR_AK1.ps.124,AK_Rogers_C006,64.363008,-145.578724,Control,E,org,humic,26.50001,26.50001,1.8,1,0.36473,16.293835,,6565.14,1069.713079
